id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
224ff61d-0f31-4663-990a-83825c96c3cc,studies.school,available,9.99,,high,low,7,name.com,,
b7260cdb-f9d4-4ca9-aaba-abff7c129395,studies.institute,available,9.99,,high,low,7,name.com,,
0cafea1b-2164-4cc7-8f5b-52113acf8be1,learns.degree,available,14.99,,medium,low,6,name.com,,
ce1dee3c-e884-4685-9b50-071561a96eb3,learns.shiksha,available,19.99,,medium,low,6,name.com,,
39dd6e08-2c84-44ec-8632-443251bd8ca8,learns.study,premium,53.92,53.92,medium,low,6,namesilo,,
b521b2e2-5710-48de-b54b-cf25a9e9a1da,information.education,available,34.99,34.99,high,low,11,namesilo,,
77525f3a-d50c-4f9e-8924-9595525e10a6,schools.shiksha,premium,750,,high,low,7,name.com,,
d4dda853-e40e-4dc3-a715-fda72fd2d705,learns.university,available,19.99,,medium,low,6,name.com,,
28984e4e-d76c-4a13-9695-9d48c6e165a6,room.institute,available,9.99,,high,low,4,name.com,,
3d8cfd2b-1211-4ebc-9d0e-6ef4a0959677,learns.schule,available,19.99,,medium,low,6,name.com,,
05ee4162-2a57-42ee-8fa1-55aac7bc0de8,room.degree,available,14.99,,high,low,4,name.com,,
8c98bc7e-c5c4-4e02-b22a-b01c9be33c9f,room.schule,available,19.99,,high,low,4,name.com,,
1ad65cd1-2f3d-48c4-95b6-19220e0d6200,room.education,available,34.99,34.99,high,low,4,namesilo,,
473d7631-3920-4f64-a215-6d86b4c08165,room.shiksha,available,19.99,,high,low,4,name.com,,
16645d1d-f418-4d59-9865-fe142107c9e6,digital.ryukyu,available,22.98,,high,medium,7,namecheap,,
98113fc1-e089-4c8b-af58-7c279a76f712,room.study,premium,116,116,high,low,4,namesilo,,
01561443-3475-4095-97ee-99781a2e20e0,teachers.ac,available,49.99,,medium,low,8,name.com,,
d1ed9d1c-fa04-4d1f-9d87-07be0ffcb455,skill.institute,resell,,,high,medium,5,"Spaceship, Inc.",31/08/2024 17:00,31/08/2026 17:00
992d9668-bc72-4b9e-8712-5fb049dcbfdf,courses.pro,resell,,,high,low,7,"Spaceship, Inc.",31/03/2022 13:15,31/03/2027 13:15
4d56ed49-647b-4ece-8359-b681290c7f74,proficiency.it,available,25.99,,high,low,11,name.com,,
93de242a-f966-440b-aed1-cc69b4bc7c25,educational.ryukyu,available,22.98,,high,low,11,namecheap,,
3b608a9c-464a-4772-afd3-70f6b69fbeb8,language.institute,premium,118.8,118.8,high,low,8,namesilo,,
5ad661b7-4c28-4200-ba38-4e88d5752fdd,courses.channel,premium,311.25,,high,low,7,name.com,,
f4f82a83-c888-47c9-a55a-d00138a24b44,schools.dentist,premium,500,,high,low,7,name.com,,
601c08ca-8150-4226-82b8-5726af092667,language.degree,available,14.99,,high,low,8,name.com,,
153b4b79-c565-4224-8e27-9bea19d9f3fe,skill.education,resell,,,high,medium,5,"Spaceship, Inc.",29/09/2022 13:15,29/09/2026 13:15
61983d1b-e566-4c58-8905-cb144fcd44a4,language.schule,available,19.99,,high,low,8,name.com,,
3374eb34-9f0f-4503-84a0-d7bc91803693,studies.rentals,available,14.99,,high,low,7,name.com,,
266910bb-babd-442b-8ce4-066a67067a0e,studies.events,available,21.99,,high,low,7,name.com,,
278c89a2-9c1a-4256-b97a-fce2b8f55581,learns.college,available,17.99,59.99,medium,low,6,namesilo,,
fc9a57a5-499b-41f4-909e-ce42f423c4d9,studies.money,available,19.99,,high,low,7,name.com,,
879cfe02-5fa4-4629-949a-130829a75709,class.degree,premium,250,,high,low,5,name.com,,
9b6a6615-aec6-4bb3-be22-e5324a75d72c,course.degree,available,14.99,,high,low,6,name.com,,
10acd1c3-ecd5-488a-89c1-b13a9489510e,class.schule,available,19.99,,high,low,5,name.com,,
a92f8712-be0a-4c5b-b9de-9e29093ea4c6,course.schule,available,19.99,,high,low,6,name.com,,
5231b715-679e-4374-9d0c-070f341217ad,schools.loans,available,19.99,,high,low,7,name.com,,
14dc93f9-2a50-4592-8efd-8204f44afbb4,guide.shop,premium,3125,,high,low,5,name.com,,
97df5db1-819f-4164-aa2a-75b63c4e71ca,studies.study,premium,62.5,,high,low,7,name.com,,
b1928118-a809-4bd4-ab7a-aeaef931ef42,studies.beer,premium,50,,high,low,7,name.com,,
dccceabd-6fe2-42c9-9f95-cfeb73268bd0,studies.promo,available,19.99,,high,low,7,name.com,,
6c37a3b1-c149-49a9-a558-934475b36942,studies.broker,available,19.99,,high,low,7,name.com,,
793dfea3-63e2-4145-822d-f205fee54aa2,studies.sucks,available,298,,high,low,7,namecheap,,
a84d675f-8dd1-4364-b1e4-5389815639af,adult.institute,premium,123.75,123.75,high,low,5,name.com,,
805d635b-f45b-4fef-8b7f-5a702d24f9b7,schools.beauty,resell,,,high,low,7,Dynadot LLC,31/05/2025 23:35,31/05/2026 23:59
03b5888f-ec63-4153-af36-bcee338e7715,schools.mba,premium,250,,high,low,7,name.com,,
16dde648-adef-40c6-ac50-539f56d29007,guide.college,premium,625,,high,low,5,name.com,,
875df059-c322-475a-9fc4-596445bacb96,language.shiksha,available,,,high,low,8,,,
f79de0f8-074c-462c-a1a3-4e0e91e40076,schools.community,available,14.99,,high,low,7,name.com,,
7f3f8d5a-0858-435d-aa2d-631314592220,language.study,available,,,high,low,8,,,
91cdfc86-5a18-4ff8-853f-fc962637e168,studies.gripe,available,8.98,,high,low,7,namecheap,,
b59cb659-c649-43aa-99da-6dbcdcd3de5c,studies.fyi,premium,18.75,,high,low,7,name.com,,
318a9228-04a4-4158-8c02-86333c57d67e,coach.institute,resell,,,high,low,5,"Sav.com, LLC - 48",23/04/2025 15:15,23/04/2027 15:15
1900db21-6aad-4287-9470-c41a8e4697e0,enlightenment.degree,available,14.99,,medium,low,13,name.com,,
b2121722-bcc5-44d7-b594-12f0135eaab6,proficiency.sex,available,154.98,,high,low,11,namecheap,,
5112b438-428d-4867-ab12-34e2274932f7,studies.gift,available,23.98,,high,low,7,namecheap,,
714fbe36-4925-4dfd-9c28-b0034b4eb5b4,adult.degree,premium,250,250,high,low,5,name.com,,
a2422f6f-1c11-40ef-ac22-bf45a20aff2a,quizzes.school,available,9.99,,medium,low,7,name.com,,
